library_name,feature_id,source,capture_date,spectrum,project_row,project_col,gpc2_loaded
46608787,5b83ee2c3252d0e58342566346608787,WV02,7/13/2024,Pan Sharpened Natural Color,2,2,x
055d290c,c6a1df90f872eebfb671ffe4055d290c,WV02,8/30/2023,Pan Sharpened Natural Color,1,2,x
056744fe,adf68bc9cd4d61e6076666b9056744fe,GE01,8/9/2024,Pan Sharpened Natural Color,3,2,x
09f49754,50221e133a83ed9b952a536909f49754,WV02,7/13/2024,Pan Sharpened Natural Color,2,2,x
15696db9,34c0415ae4f8538a066385a915696db9,WV02,12/6/2023,Pan Sharpened Natural Color,2,3,x
1b78a368,5bf4ee8e526e6938e52f45531b78a368,WV02,9/20/2024,Pan Sharpened Natural Color,1,1,x
1d1878ee,88e64c47c794a0c1895c97e61d1878ee,WV03_VNIR,10/6/2024,Pan Sharpened Natural Color,1,3,x
1d710617,2a5dc02cd398a96338aadf991d710617,GE01,6/9/2024,Pan Sharpened Natural Color,1,2,x
3d87291b,ff1a51b603465e190f686b923d87291b,WV02,7/13/2024,Pan Sharpened Natural Color,2,2,x
4573eaa6,4680a027c4a29fbe00c6ae5d4573eaa6,GE01,5/29/2024,Pan Sharpened Natural Color,1,3,x
458ac37e,a5fd5302c744f0db9f290b87458ac37e,GE01,7/4/2024,Pan Sharpened Natural Color,1,1,x
544ff0ae,4791f1b42b823bc70cd6d129544ff0ae,WV02,7/13/2024,Pan Sharpened Natural Color,2,2,x
5805ca5b,ea45bad3b827ec6b7235624f5805ca5b,GE01,7/4/2024,Pan Sharpened Natural Color,1,1,x
6f42499b,c784a6d554c99c73f9a1cfb96f42499b,GE01,7/20/2024,Pan Sharpened Natural Color,3,2,x
722d6338,b67f8ab7596ac94af6211fac722d6338,WV02,8/18/2024,Pan Sharpened Natural Color,3,2,x
75485d2c,8d4d018661acd528f4d26d6d75485d2c,WV02,7/13/2024,Pan Sharpened Natural Color,2,2,x
7a5950c7,f99ab230a86310404a1176677a5950c7,WV02,8/21/2024,Pan Sharpened Natural Color,2,1,x
8f05b7dd,110ad9d30d8237c7c3ec2f018f05b7dd,WV02,12/6/2023,Pan Sharpened Natural Color,2,3,x
91b4f1ff,f54662a5042a12d972cacbc391b4f1ff,GE01,6/6/2024,Pan Sharpened Natural Color,1,2,x
96f2f94e,69dbca18aa1b6a9fdd351f6b96f2f94e,WV02,7/13/2024,Pan Sharpened Natural Color,1,3,x
97d3e907,8d6d70e0e6912591da29657e97d3e907,WV02,4/26/2024,Pan Sharpened Natural Color,1,2,x
9aa692c1,ec2dc671b7d44c9d858db0e99aa692c1,WV02,11/20/2023,Pan Sharpened Natural Color,2,3,x
9edd4910,32cd90de25ab051cbc471d459edd4910,WV02,8/21/2024,Pan Sharpened Natural Color,2,1,x
a91e8b6f,803f23d3c25d24bd1aeb6c41a91e8b6f,WV02,6/26/2024,Pan Sharpened Natural Color,3,2,x
aa5f6d08,20b76366efab8e7795dda759aa5f6d08,GE01,7/27/2023,Pan Sharpened Natural Color,2,1,x
b53b08d3,035c0f70f7fdc2c4b51dbb75b53b08d3,WV02,8/23/2024,Pan Sharpened Natural Color,2,1,x
b6356d15,1e7cb20ded7a73dfb1db0c17b6356d15,WV02,4/26/2024,Pan Sharpened Natural Color,1,2,x
b7385dd6,a9f2a3718043dd3bd6325b54b7385dd6,GE01,8/14/2024,Pan Sharpened Natural Color,3,3,x
b84dc635,9a44853671932e27fb8bbf13b84dc635,WV02,7/13/2024,Pan Sharpened Natural Color,2,3,x
bf8622c3,fbcead75c2dbffffb2b7b711bf8622c3,GE01,8/14/2024,Pan Sharpened Natural Color,3,2,x
c2481ad7,590c9bcf6106bbb2daf4a03ac2481ad7,WV02,7/13/2024,Pan Sharpened Natural Color,2,2,x
c61064fa,fc400825684a0c52c9cc3e91c61064fa,WV02,8/21/2024,Pan Sharpened Natural Color,2,1,x
ce23bdca,0157f1f19e6f6e94a2fa656bce23bdca,GE01,8/23/2024,Pan Sharpened Natural Color,2,1,x
d2de346b,bb51c39690a44c8522e2e8dcd2de346b,WV02,7/24/2024,Pan Sharpened Natural Color,2,2,x
d8182a32,aa8d639f3a87c3220b1f7fded8182a32,GE01,5/29/2024,Pan Sharpened Natural Color,1,3,x
d8da9e88,93f35740f12af84060b01436d8da9e88,GE01,8/9/2024,Pan Sharpened Natural Color,3,2,x
da43260f,6a4dfe2ecbe7614178b60d38da43260f,WV02,7/24/2024,Pan Sharpened Natural Color,2,1,x
ddda48bb,22544eb0812939693a3827c8ddda48bb,GE01,6/6/2024,Pan Sharpened Natural Color,1,2,x
e85cf885,3fb6e890ca1713ad20d9f4e6e85cf885,WV02,8/30/2023,Pan Sharpened Natural Color,1,1,x
f6d60199,f550d0406540449b4c0da8b2f6d60199,GE01,10/22/2024,Pan Sharpened Natural Color,1,3,x
